table_abbrev,spec,sample,outcome,full_audits_column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.16","","0.12","377","0.80","table4_main_outcomes_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","P(Execution)","1","-0.07","*","0.04","646","0.35","table4_main_outcomes_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.04","**","0.02","407","0.81","table4_main_outcomes_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","0.06","","0.14","359","0.79","table4_main_outcomes_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","P(Execution)","1","-0.08","**","0.03","944","0.40","table4_main_outcomes_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","P(Detection | Execution)","4","0.04","**","0.02","508","0.80","table4_main_outcomes_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","log(Evasion) | Detection","7","0.19","*","0.11","457","0.80","table4_main_outcomes_yhatrf_50bins_control.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","P(Execution)","1","-0.06","*","0.04","704","0.40","table4_main_outcomes_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","P(Detection | Execution)","4","0.04","**","0.02","413","0.79","table4_main_outcomes_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.16","","0.12","377","0.81","table4_main_outcomes_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","P(Execution)","1","-0.06","*","0.04","646","0.38","table4_main_outcomes_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.05","**","0.02","407","0.80","table4_main_outcomes_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","0.09","","0.13","359","0.81","table4_main_outcomes_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","P(Execution)","1","-0.16","***","0.03","944","0.29","table4_main_outcomes_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","P(Detection | Execution)","4","0.06","***","0.01","508","0.86","table4_main_outcomes_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","log(Evasion) | Detection","7","0.05","","0.10","457","0.79","table4_main_outcomes_yhatrf_control.tex"
