table_abbrev,spec,sample,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"15 bins of pred evasion","Predicted-evasion 15-bin controls","Full sample","Evasion / Days Working (Self-Reported)","8","-0.10","","0.32","40","0.77","table5_fullaudits_yhatrf_15bins_control.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","Number of Agents","1","-0.24","***","0.08","413","0.46","table5_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-8.13","*","4.27","167","0.27","table5_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-24.76","","16.26","252","0.34","table5_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-24.69","","32.94","37","0.52","table5_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","Evasion / Number of Agents","5","0.20","*","0.12","377","0.76","table5_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","1.37","***","0.29","88","0.78","table5_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.34","**","0.17","228","0.72","table5_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + LTU/Medium only","Predicted-evasion 15-bin controls","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","0.10","","0.38","31","0.86","table5_fullaudits_yhatrf_15bins_control_ltu_medium.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","Number of Agents","1","-0.15","**","0.08","407","0.52","table5_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
