table_abbrev,spec,sample,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","Evasion / Number of Agents","5","0.11","","0.11","377","0.78","table5_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","0.96","***","0.26","88","0.74","table5_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.26","","0.17","228","0.72","table5_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","-0.01","","0.28","31","0.82","table5_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","Number of Agents","1","-0.18","***","0.07","407","0.54","table5_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-12.26","","7.88","85","0.25","table5_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-25.22","","15.88","243","0.29","table5_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-11.43","","25.35","51","0.51","table5_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.03","","0.12","359","0.77","table5_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","0.85","**","0.35","53","0.77","table5_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","0.04","","0.19","215","0.70","table5_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","-0.22","","0.27","40","0.70","table5_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","Number of Agents","1","-0.16","**","0.07","508","0.48","table5_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","Duration in Days (Taxpayer Survey)","2","-9.54","**","4.32","214","0.28","table5_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","Days from Start to Conf. (Admin Data)","3","-25.17","*","14.59","282","0.32","table5_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","Days Working on Case (Self-Reported)","4","-12.77","","24.32","51","0.56","table5_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","Evasion / Number of Agents","5","0.17","","0.11","457","0.75","table5_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","Evasion / Duration (Taxpayer Survey)","6","0.95","***","0.27","98","0.73","table5_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","Evasion / Duration (Admin Data)","7","0.14","","0.18","253","0.70","table5_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","Evasion / Days Working (Self-Reported)","8","-0.01","","0.35","40","0.71","table5_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","Number of Agents","1","-0.22","***","0.08","413","0.45","table5_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-7.92","*","4.37","167","0.24","table5_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-23.87","","15.74","252","0.33","table5_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-19.97","","35.83","37","0.42","table5_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","Evasion / Number of Agents","5","0.14","","0.12","377","0.75","table5_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","1.06","***","0.27","88","0.74","table5_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.22","","0.17","228","0.70","table5_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","0.29","","0.38","31","0.80","table5_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","Number of Agents","1","-0.13","*","0.07","407","0.51","table5_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-16.04","*","9.56","85","0.34","table5_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-24.65","","16.21","243","0.30","table5_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-12.77","","24.32","51","0.56","table5_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.05","","0.13","359","0.75","table5_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","0.63","*","0.36","53","0.82","table5_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","-0.00","","0.19","215","0.70","table5_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","-0.01","","0.35","40","0.71","table5_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","Number of Agents","1","-0.18","***","0.06","508","0.52","table5_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","Duration in Days (Taxpayer Survey)","2","-10.33","**","4.18","214","0.27","table5_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","Days from Start to Conf. (Admin Data)","3","-26.46","*","14.24","282","0.30","table5_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","Days Working on Case (Self-Reported)","4","-16.02","","24.60","51","0.52","table5_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","Evasion / Number of Agents","5","0.12","","0.10","457","0.78","table5_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","Evasion / Duration (Taxpayer Survey)","6","0.85","***","0.24","98","0.75","table5_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","Evasion / Duration (Admin Data)","7","0.18","","0.17","253","0.72","table5_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","Evasion / Days Working (Self-Reported)","8","-0.25","","0.26","40","0.71","table5_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","Number of Agents","1","-0.23","***","0.07","413","0.48","table5_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-9.69","**","4.35","167","0.22","table5_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-24.12","","14.95","252","0.31","table5_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-17.48","","31.82","37","0.38","table5_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","Evasion / Number of Agents","5","0.10","","0.11","377","0.78","table5_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","0.96","***","0.25","88","0.76","table5_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.25","","0.17","228","0.72","table5_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","-0.05","","0.27","31","0.82","table5_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","Number of Agents","1","-0.17","**","0.07","407","0.54","table5_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-18.99","**","9.24","85","0.31","table5_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-23.68","","16.08","243","0.29","table5_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-16.02","","24.60","51","0.52","table5_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.03","","0.12","359","0.77","table5_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","0.75","*","0.38","53","0.79","table5_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","0.07","","0.19","215","0.70","table5_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","-0.25","","0.26","40","0.71","table5_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","Number of Agents","1","-0.15","**","0.07","508","0.47","table5_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","Duration in Days (Taxpayer Survey)","2","-10.05","**","4.24","214","0.27","table5_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","Days from Start to Conf. (Admin Data)","3","-25.41","*","14.30","282","0.31","table5_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","Days Working on Case (Self-Reported)","4","-19.84","","23.06","51","0.53","table5_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","Evasion / Number of Agents","5","0.16","","0.12","457","0.72","table5_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","Evasion / Duration (Taxpayer Survey)","6","0.93","***","0.29","98","0.64","table5_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","Evasion / Duration (Admin Data)","7","0.10","","0.19","253","0.65","table5_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","Evasion / Days Working (Self-Reported)","8","-0.09","","0.34","40","0.69","table5_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","Number of Agents","1","-0.22","***","0.07","413","0.43","table5_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-9.04","**","4.36","167","0.22","table5_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-24.15","","15.33","252","0.32","table5_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-25.73","","30.53","37","0.40","table5_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","Evasion / Number of Agents","5","0.11","","0.12","377","0.73","table5_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","1.01","***","0.30","88","0.64","table5_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.18","","0.19","228","0.65","table5_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","0.11","","0.35","31","0.74","table5_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","Number of Agents","1","-0.13","*","0.07","407","0.49","table5_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-18.31","*","9.67","85","0.31","table5_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-24.45","","15.95","243","0.30","table5_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-19.84","","23.06","51","0.53","table5_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.03","","0.14","359","0.72","table5_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","0.73","*","0.40","53","0.71","table5_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","-0.06","","0.21","215","0.66","table5_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","-0.09","","0.34","40","0.69","table5_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","Number of Agents","1","-0.16","**","0.07","508","0.48","table5_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","Duration in Days (Taxpayer Survey)","2","-9.83","**","4.48","214","0.28","table5_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","Days from Start to Conf. (Admin Data)","3","-25.82","*","14.41","282","0.33","table5_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","Days Working on Case (Self-Reported)","4","-4.79","","24.47","51","0.61","table5_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","Evasion / Number of Agents","5","0.17","","0.11","457","0.75","table5_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","Evasion / Duration (Taxpayer Survey)","6","0.90","***","0.28","98","0.74","table5_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","Evasion / Duration (Admin Data)","7","0.15","","0.18","253","0.70","table5_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","Evasion / Days Working (Self-Reported)","8","-0.12","","0.34","40","0.73","table5_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","Number of Agents","1","-0.22","***","0.08","413","0.45","table5_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-8.04","*","4.54","167","0.25","table5_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-24.91","","15.63","252","0.34","table5_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-8.13","","38.18","37","0.50","table5_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","Evasion / Number of Agents","5","0.15","","0.12","377","0.76","table5_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","0.98","***","0.28","88","0.75","table5_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.24","","0.18","228","0.70","table5_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","0.24","","0.41","31","0.81","table5_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","Number of Agents","1","-0.13","*","0.07","407","0.51","table5_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-16.89","*","10.10","85","0.34","table5_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-25.34","","16.01","243","0.32","table5_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-4.79","","24.47","51","0.61","table5_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.05","","0.13","359","0.75","table5_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","0.63","","0.38","53","0.82","table5_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","0.01","","0.19","215","0.70","table5_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","-0.12","","0.34","40","0.73","table5_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
