table_abbrev,spec,sample,outcome,model_column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","log(Evasion) | Detection","6","0.107","","0.122","377","0.817","table8_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","P(Execution)","6","-0.054","","0.037","646","0.394","table8_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","P(Detection | Execution)","6","0.036","*","0.019","407","0.823","table8_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","log(Evasion) | Detection","6","-0.062","","0.146","359","0.811","table8_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","P(Execution)","6","-0.066","**","0.030","944","0.432","table8_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","P(Detection | Execution)","6","0.031","*","0.016","508","0.812","table8_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","log(Evasion) | Detection","6","0.117","","0.115","457","0.822","table8_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","P(Execution)","6","-0.061","*","0.036","704","0.433","table8_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","P(Detection | Execution)","6","0.034","*","0.018","413","0.811","table8_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","log(Evasion) | Detection","6","0.107","","0.116","377","0.832","table8_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
