table_abbrev,spec,sample,panel,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.33","*","0.17","199","0.15","table6_indices_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.10","","0.17","199","0.18","table6_indices_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.10","","0.27","89","0.35","table6_indices_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.06","","0.25","88","0.38","table6_indices_yhatrf_20bins_control.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.45","**","0.21","149","0.21","table6_indices_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.20","","0.19","148","0.22","table6_indices_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.18","","0.30","78","0.38","table6_indices_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.18","","0.26","77","0.42","table6_indices_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","0.49","","0.32","68","0.45","table6_indices_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.19","","0.27","68","0.50","table6_indices_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","0.70","*","0.40","43","0.51","table6_indices_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.24","","0.38","42","0.40","table6_indices_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.37","*","0.19","199","0.25","table6_indices_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.09","","0.18","199","0.30","table6_indices_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.04","","0.36","89","0.48","table6_indices_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.11","","0.28","88","0.57","table6_indices_yhatrf_40bins_control.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.46","*","0.23","149","0.30","table6_indices_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.21","","0.20","148","0.33","table6_indices_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.09","","0.43","78","0.52","table6_indices_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.26","","0.32","77","0.57","table6_indices_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","0.28","","0.45","68","0.61","table6_indices_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.16","","0.35","68","0.71","table6_indices_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","0.72","","0.64","43","0.57","table6_indices_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.20","","0.50","42","0.62","table6_indices_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.42","**","0.19","199","0.31","table6_indices_yhatrf_50bins_control.tex"
